DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2021,481056919,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2022,582218125,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2023,609145517,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2024,628546052,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2013,4965181151,e,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2014,4894784852,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2015,4758300734,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2016,4867235334,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2017,5080957143,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2018,5277663837,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2019,5301349532,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2020,3376090505,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2021,4011530754,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2022,5104648623,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2023,5335994479,e,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,European Union - 27 countries (from 2020),2024,5572088651,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2013,118722790,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2014,114010096,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2015,114908310,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2016,115692701,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2017,120564281,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2018,119253074,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2019,128498619,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2020,108016551,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2021,113192087,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2022,128119583,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2023,123481941,,
