DATAFLOW,LAST UPDATE,freq,purpose,duration,c_dest,expend,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2017,60.46,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2018,64.72,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2019,66.00,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2020,45.57,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2021,55.23,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2022,71.74,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2023,80.12,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Spain,2024,83.75,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2013,66.44,e,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2014,64.59,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2015,68.05,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2016,70.00,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2017,80.92,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2018,85.87,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2019,83.87,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2020,61.60,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2021,68.14,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2022,88.89,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2023,97.17,e,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,European Union - 27 countries (from 2020),2024,103.77,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2013,101.48,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2014,101.25,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2015,103.33,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2016,101.56,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2017,101.50,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2018,108.71,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2019,99.33,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2020,59.00,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2021,56.85,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2022,90.25,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2023,101.71,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Finland,2024,98.50,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,France,2013,61.30,,
ESTAT:TIN00196(1.0),08/05/26 23:00:00,Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,France,2014,63.11,,
