DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2016,2213547,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2017,2358880,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2018,2455763,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2019,2591410,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2020,2270210,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2021,2716254,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2022,3031814,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2023,3003818,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Estonia,2024,2977933,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2014,20589198,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2015,20900203,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2016,22107192,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2017,21974593,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2018,24064088,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2019,23623077,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2020,12277230,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2021,14963208,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2022,21195814,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2023,24103015,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Greece,2024,24764341,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2014,144327228,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2015,152808273,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2016,160400822,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2017,165292267,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2018,165918083,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2019,170722142,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2020,83778193,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2021,145188204,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2022,180184036,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2023,183129528,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2024,182936205,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2014,1278406482,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2015,1332621050,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2016,1373271744,,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2017,1426601419,e,
ESTAT:TIN00175(1.0),28/05/26 11:00:00,Annual,Domestic country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2018,1467002532,e,
